YEAR,PID,PROVINCE,SURFACE_ha,PRODUCTION_tons
2010,1,ALMERIA,6961,64419
2011,1,ALMERIA,6961,51975
2012,1,ALMERIA,6961,51352
2013,1,ALMERIA,6893,50582
2014,1,ALMERIA,6896,53886
2010,2,CADIZ,21117,37925
2011,2,CADIZ,21390,38163
2012,2,CADIZ,21791,38152
2013,2,CADIZ,21390,47613
2014,2,CADIZ,21390,44521
2010,3,CORDOBA,322840,1382695
2011,3,CORDOBA,295016,1567705
2012,3,CORDOBA,293723,790786
2013,3,CORDOBA,294228,1923154
2014,3,CORDOBA,294640,856049
2010,4,GRANADA,145654,507766
2011,4,GRANADA,120998,673467
2012,4,GRANADA,121297,259084
2013,4,GRANADA,118626,687462
2014,4,GRANADA,119505,431583
2010,5,HUELVA,28695,39691
2011,5,HUELVA,28493,34607
2012,5,HUELVA,27730,30529
2013,5,HUELVA,27228,31236
2014,5,HUELVA,27274,39814
2010,6,JAEN,387483,2749955
2011,6,JAEN,310039,3038311
2012,6,JAEN,310207,696488
2013,6,JAEN,310929,3600871
2014,6,JAEN,311865,1023103
2010,7,MALAGA,117552,325544
2011,7,MALAGA,104828,511809
2012,7,MALAGA,102766,295192
2013,7,MALAGA,102743,449692
2014,7,MALAGA,107749,360502
2010,8,SEVILLA,153615,812443
2011,8,SEVILLA,140275,755856
2012,8,SEVILLA,140184,752703
2013,8,SEVILLA,138436,889587
2014,8,SEVILLA,137477,824155
