ID,X,Y,OLIVE_VARIETY
1,-4.277276026,37.21188813,Hj
2,-5.037276026,37.40188813,Hj
3,-5.237276027,37.53188813,Hj
4,-4.247276027,37.46188813,Hj
5,-5.037276026,37.12188813,Hj
6,-3.957276026,37.09188813,Hj
7,-4.087276026,37.38188813,Hj
8,-4.737276027,37.28188813,Hj
9,-4.087276026,37.44188813,Hj
10,-4.757276026,37.35188813,Hj
11,-5.017276027,37.32188813,Hj
12,-4.807276026,37.47188813,Hj
13,-4.457276026,37.37188813,Hj
14,-4.037276026,37.43188813,Hj
15,-4.777276026,36.99188813,Hj
16,-3.347276027,37.97188813,Hj
17,-4.697276027,38.22188813,Hj
18,-4.287276027,37.66188813,Hj
19,-3.637276026,37.28188813,Hj
20,-4.357276026,36.92188813,Hj
21,-4.497276026,36.84188813,Hj
22,-4.907276026,37.34188813,Hj
23,-4.517276027,38.05188813,Hj
24,-5.227276026,36.90188813,Hj
25,-4.197276027,37.22188813,Hj
26,-4.447276026,36.88188813,Hj
27,-4.547276026,37.32188813,Hj
28,-5.167276026,37.11188813,Hj
29,-4.277276026,37.61188813,Hj
30,-4.397276026,37.57188813,Hj
31,-4.437276027,38.08188813,Hj
32,-5.117276026,37.27188813,Hj
33,-5.027276026,37.10188813,Hj
34,-4.157276027,37.23188813,Hj
35,-4.407276026,37.12188813,Hj
36,-4.937276026,36.77188813,Hj
37,-4.587276026,37.00188813,Hj
38,-4.797276027,37.62188813,Hj
39,-5.107276027,37.15188813,Hj
40,-6.497276027,37.33188813,Hj
41,-4.847276026,37.57188813,Hj
42,-4.457276026,37.56188813,Hj
43,-4.617276027,37.43188813,Hj
44,-3.397276027,38.21188813,Hj
45,-4.457276026,37.19188813,Hj
46,-4.627276026,37.32188813,Hj
47,-5.207276026,36.91188813,Hj
48,-4.787276027,37.39188813,Hj
49,-4.947276026,36.73188813,Hj
50,-4.277276026,37.53188813,Hj
51,-3.917276026,37.17188813,Hj
52,-3.177276027,37.95188813,Hj
53,-3.987276027,37.14188813,Hj
54,-5.137276026,36.72188813,Hj
55,-5.137276026,37.01188813,Hj
56,-3.397276027,38.06188813,Hj
57,-3.987276027,37.34188813,Hj
58,-4.987276026,37.19188813,Hj
59,-4.117276027,37.50188813,Hj
60,-5.227276026,36.91188813,Hj
61,-4.937276026,37.14188813,Hj
62,-4.607276027,37.39188813,Hj
63,-4.497276026,37.32188813,Hj
64,-5.037276026,37.02188813,Hj
65,-4.657276027,36.84188813,Hj
66,-4.337276027,36.95188813,Hj
67,-4.847276026,37.39188813,Hj
68,-3.307276027,37.95188813,Hj
69,-4.097276026,37.21188813,Hj
70,-4.517276027,37.36188813,Hj
71,-4.787276027,37.36188813,Hj
72,-4.557276027,37.50188813,Hj
73,-4.287276027,37.27188813,Hj
74,-4.457276026,37.46188813,Hj
75,-4.787276027,37.12188813,Hj
76,-4.927276027,38.38188813,Hj
77,-3.977276027,37.07188813,Hj
78,-4.677276026,37.36188813,Hj
79,-3.857276026,37.10188813,Hj
80,-5.777276027,37.24188813,Hj
81,-4.197276027,37.32188813,Hj
82,-4.487276026,37.40188813,Hj
83,-4.447276026,36.91188813,Hj
84,-5.187276027,37.02188813,Hj
85,-4.527276027,36.90188813,Hj
86,-4.617276027,37.54188813,Hj
87,-4.707276027,37.46188813,Hj
88,-5.157276027,37.21188813,Hj
89,-4.857276026,37.39188813,Hj
90,-4.167276027,37.24188813,Hj
91,-4.307276026,37.31188813,Hj
92,-5.137276026,36.73188813,Hj
93,-5.077276026,37.10188813,Hj
94,-4.017276027,37.41188813,Hj
95,-4.287276027,37.22188813,Hj
96,-5.407276026,37.06188813,Hj
97,-4.377276027,37.16188813,Hj
98,-4.807276026,37.19188813,Hj
99,-4.247276027,37.13188813,Hj
100,-4.517276027,37.38188813,Hj
101,-5.277276027,36.86188813,Lch
102,-5.157276027,36.79188813,Lch
